Date,Region,Product,Category,Sales,Profit,Quantity
2024-01-05,North,Laptop,Electronics,1500,300,10
2024-01-20,South,Phone,Electronics,800,160,20
2024-02-10,East,Tablet,Electronics,600,90,15
2024-02-25,West,Laptop,Electronics,1700,340,12
2024-03-08,North,Phone,Electronics,950,190,22
2024-03-22,East,Tablet,Electronics,500,75,14
2024-04-14,South,Laptop,Electronics,1800,360,11
2024-04-28,West,Phone,Electronics,870,174,19
2024-05-05,East,Tablet,Electronics,620,93,16
2024-05-19,North,Laptop,Electronics,1600,320,13
2024-06-11,West,Phone,Electronics,910,182,21
2024-06-30,South,Tablet,Electronics,540,81,18
2024-07-03,North,Laptop,Electronics,1750,350,10
2024-07-18,East,Phone,Electronics,830,166,20
2024-08-09,South,Tablet,Electronics,580,87,15
2024-08-24,West,Laptop,Electronics,1650,330,12
2024-09-06,North,Phone,Electronics,990,198,23
2024-09-21,South,Tablet,Electronics,510,76,14
2024-10-10,East,Laptop,Electronics,1720,344,11
2024-10-29,West,Phone,Electronics,860,172,18
2024-11-07,North,Tablet,Electronics,560,84,16
2024-11-23,South,Laptop,Electronics,1780,356,10
2024-12-05,East,Phone,Electronics,920,184,21
2024-12-20,West,Tablet,Electronics,530,79,13
